"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CDC25C",27.9828611197684,1.65716630408484,0.225861999739739,5.12333329828944,3.00181042986652e-07,3.01324589817077e-05
"ZCCHC2",1619.3129650348,1.67065309698094,0.228545263104016,5.12219365687818,3.02001488773836e-07,3.01358171993016e-05
"IQGAP3",28.1896320532025,2.32699834945691,0.357656883003731,5.10824322493984,3.25167910298166e-07,3.22566567015781e-05
"ESPL1",43.8476823946033,1.66589892065465,0.229085353019405,5.08936475111917,3.59264986970347e-07,3.54306709957189e-05
"SKA1",74.3258634608843,1.47468602763824,0.191586588089667,5.08744394561724,3.62921603432661e-07,3.5583197210979e-05
"ARHGAP11A",129.900930063377,1.24313051405558,0.146311085572895,5.07911284470198,3.79201435227543e-07,3.69644682293485e-05
"CDCA8",104.533939120242,1.31762600760217,0.161170374476224,5.07305396701666,3.9148141528142e-07,3.794219877762e-05
"OAS3",5843.46179472699,2.35697800969241,0.37051197237569,5.01192444008121,5.38883654435896e-07,5.19299082766111e-05
"COL4A4",26.2609416176052,1.80355745831167,0.260500940244691,5.00404127941813,5.61407269483655e-07,5.37930238214339e-05
"XRCC2",30.3172247613039,1.30823318267425,0.161586974727842,5.0018461205524,5.67839077076828e-07,5.41019107108679e-05
"TRIM6",109.560380552904,1.83835117519023,0.267820485906252,4.99719493324612,5.81702592597528e-07,5.51114186604759e-05
"CCNA1",253.466925165259,2.66261731996324,0.433935033330749,4.98373524572024,6.23684042239716e-07,5.87587021694445e-05
"CCDC150",9.71814451955033,1.78449201865671,0.258240017865202,4.97402389170837,6.55772215343725e-07,6.14385702197588e-05
"NDC80",149.241629177,1.09322386683372,0.119499323764478,4.96424455089726,6.89689957259319e-07,6.41247060446887e-05
"TTC9",490.200438064836,-1.43755394704667,0.188886562658844,-4.96358202430748,6.92047942370336e-07,6.41247060446887e-05
"PKHD1L1",161.541124550214,1.45297829242753,0.192148917043594,4.95958190704411,7.0645057233752e-07,6.51015434530051e-05
"KIF23",77.4222507707879,1.31540062601612,0.164663729999513,4.95191397655411,7.34870905663964e-07,6.73525160495494e-05
"CDC7",142.668558632677,1.08169376040157,0.11792949877636,4.93255518286129,8.11608398749161e-07,7.39835893865181e-05
"EGF",268.70179723342,1.59304456309367,0.222797646888042,4.90599689162305,9.29539966190921e-07,8.42782902679768e-05
"UBE2T",91.6471328296333,1.5317569394267,0.210784440945575,4.89484392110848,9.83837796980229e-07,8.87242813276716e-05
"DOC2B",84.4775918470013,2.31024341862396,0.369925130114699,4.89353999297824,9.90381771609368e-07,8.88393521086191e-05
"NEIL3",22.7435620312881,1.88071556901852,0.282900416779257,4.88057099645729,1.05779124006911e-06,9.43840818652145e-05
"SUV39H2",52.2031154301255,1.11374127001131,0.127137079946001,4.82739787851024,1.38328581432173e-06,0.000122777536698535
"CENPU",144.213036984349,1.26465787564714,0.158963699046231,4.81026725117131,1.50728626300219e-06,0.000133083118006644
"MYO1D",93.6119554187354,1.54339450139177,0.217086633046437,4.80635074923554,1.53710134920904e-06,0.000135008735172194
"CEACAM8",1571.61761688878,2.46211038288801,0.408471574973469,4.80354204087628,1.55883140267805e-06,0.000136207941838148
"SLC16A14",30.3425335730202,2.02195837020178,0.317898731285164,4.78755723260983,1.68823601332224e-06,0.000146754701694156
"FAM72D",27.1500388089987,1.34489837001954,0.177252021319694,4.76665012747961,1.87314169304829e-06,0.000161459817973557
"MMP17",30.0167224756279,-1.7085241478051,0.253556901958643,-4.76628377484364,1.87654911781411e-06,0.000161459817973557
"CADM1",50.2594832049547,1.68947139517748,0.249724630720731,4.76313206168147,1.90611004850799e-06,0.000163170760700704
"WEE1",113.365702299759,1.15997664152285,0.138728596583098,4.75732226648405,1.96177850416998e-06,0.00016708804391072
"H2BC7",25.3101177382206,1.90707646657655,0.295960781201218,4.75426663244244,1.9916804724182e-06,0.000168782409481711
"ERG",84.5699774365781,2.23593963021003,0.367428706533602,4.72456179754501,2.30612082048251e-06,0.00019421154941585
"KIF24",21.5278108696645,1.36721873707775,0.183584993837813,4.72379969053403,2.31478424054708e-06,0.00019421154941585
"MATN2",27.4122481531978,2.24672489557411,0.369933342362466,4.72172874285727,2.33848432014202e-06,0.000195228710766708
"OAS2",6257.04046353755,2.01089910460162,0.320155534020224,4.71926593187104,2.36697224769788e-06,0.000196633595986093
"KLHL14",98.9099134812743,1.98092975481898,0.314318391689878,4.71155934228671,2.45828489823585e-06,0.000203218218254164
"FBXO5",133.580020101421,1.12330331344183,0.132734927609055,4.6958500273391,2.65500292669033e-06,0.000218409606613199
"ZNF367",86.930777703279,1.12502885663077,0.133457744223009,4.68334647996405,2.82228851318261e-06,0.000231044046050056
"ARHGAP11B",7.64550970247198,1.84579966321777,0.287691551189536,4.67792556873222,2.89791691779386e-06,0.000236089231409061
"BIRC5",159.326947788309,1.77981171595025,0.274198967166057,4.66745637001317,3.04951478307751e-06,0.000246469077545884
"POU2AF1",568.930740268414,1.66320987423414,0.249235215386445,4.66711685357367,3.05455628599915e-06,0.000246469077545884
"IFIT1",11857.5339589293,2.33766688436324,0.394215452145909,4.66158004299404,3.13790982949263e-06,0.000250794840590349
"MMP8",6785.74355338214,2.69382579873715,0.470593809774043,4.6618245994152,3.13418256063421e-06,0.000250794840590349
"DERL3",96.3965980785575,2.19872656957353,0.365650806321508,4.64576185859653,3.38823683423241e-06,0.000269524650813658
"SPATS2L",420.440875090451,1.94942651111817,0.31387872196076,4.61779155357773,3.87845547689093e-06,0.00030707170498727
